timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691365030343,4289,HTTP Request,200,OK,Thread Group 1 1-4,text,true,,632774,1325,5,7,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XPECSsXKWC3v4ZU-6lDpB1ruQZ6EiS51bGzKOxvCH1ugVTk50oFWofcJgxi-CNvyQe9xf1Pg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2080281675%3A1691365031475202,51,0,24
1691365030343,51,HTTP Request-0,301,Moved Permanently,Thread Group 1 1-4,text,true,,607,114,5,7,http://gmail.com/,51,0,24
1691365030395,990,HTTP Request-1,302,Moved Temporarily,Thread Group 1 1-4,text,true,,1252,129,5,7,https://mail.google.com/mail/u/0/,990,0,743
1691365031387,302,HTTP Request-2,302,Found,Thread Group 1 1-4,text,true,,1651,264,5,7,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,302,0,160
1691365031689,100,HTTP Request-3,302,Moved Temporarily,Thread Group 1 1-4,text,true,,2065,352,5,7,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7UA3vcPckKH0q7idwqg_jsfTGq7PcCae8KFPjbqIzSNmN2-34WPI_JTnLgLJXM6FR6UuDYifg,100,0,0
1691365031789,2843,HTTP Request-4,200,OK,Thread Group 1 1-4,text,true,,627199,466,5,7,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XPECSsXKWC3v4ZU-6lDpB1ruQZ6EiS51bGzKOxvCH1ugVTk50oFWofcJgxi-CNvyQe9xf1Pg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2080281675%3A1691365031475202,293,0,0
1691365029945,4895,HTTP Request,200,OK,Thread Group 1 1-2,text,true,,632803,1323,4,6,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WQMyZ0naQVZjUUf2pCWoziyricHb1aNihBkjBWNW1NQVq7owXsKAxtYMZx520vQZkWFvfoQw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-66398367%3A1691365031402205,49,0,18
1691365029945,57,HTTP Request-0,301,Moved Permanently,Thread Group 1 1-2,text,true,,607,114,4,6,http://gmail.com/,49,0,18
1691365030006,1382,HTTP Request-1,302,Moved Temporarily,Thread Group 1 1-2,text,true,,1252,129,4,6,https://mail.google.com/mail/u/0/,1382,0,1132
1691365031390,230,HTTP Request-2,302,Found,Thread Group 1 1-2,text,true,,1651,264,4,6,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,230,0,137
1691365031620,95,HTTP Request-3,302,Moved Temporarily,Thread Group 1 1-2,text,true,,2061,352,4,6,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7WSFlsLsNmfyAa-LSW6SRCC7HY_cybxMDxdBv0Gy4Ym72iqY3aNj3wPU1Wf5BpAx8GbqXmndA,95,0,0
1691365031715,3125,HTTP Request-4,200,OK,Thread Group 1 1-2,text,true,,627232,464,4,6,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WQMyZ0naQVZjUUf2pCWoziyricHb1aNihBkjBWNW1NQVq7owXsKAxtYMZx520vQZkWFvfoQw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-66398367%3A1691365031402205,85,0,0
1691365030143,4939,HTTP Request,200,OK,Thread Group 1 1-3,text,true,,632781,1324,3,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VwmdWXEw7uSPzhkk81oYH7_ni3TKtqnGaKzxriQoMms5OqyFiooSUOOV8OKSYpzSN0dzNwAg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1778931866%3A1691365031466642,53,0,26
1691365030143,53,HTTP Request-0,301,Moved Permanently,Thread Group 1 1-3,text,true,,607,114,3,5,http://gmail.com/,53,0,26
1691365030197,1185,HTTP Request-1,302,Moved Temporarily,Thread Group 1 1-3,text,true,,1252,129,3,5,https://mail.google.com/mail/u/0/,1181,0,941
1691365031389,297,HTTP Request-2,302,Found,Thread Group 1 1-3,text,true,,1651,264,3,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,297,0,162
1691365031687,93,HTTP Request-3,302,Moved Temporarily,Thread Group 1 1-3,text,true,,2063,352,3,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7WjUv6cUHMbK2WfVbEtQ5_nPO8psb2OsgoWCdwjm1RwHqSJcHYDmQ9zZALYgNX116LTGKyd-Q,93,0,0
1691365031780,3302,HTTP Request-4,200,OK,Thread Group 1 1-3,text,true,,627208,465,3,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VwmdWXEw7uSPzhkk81oYH7_ni3TKtqnGaKzxriQoMms5OqyFiooSUOOV8OKSYpzSN0dzNwAg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1778931866%3A1691365031466642,293,0,0
1691365029879,5231,HTTP Request,200,OK,Thread Group 2 2-1,text,true,,632875,1325,2,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XqTXrxVKOU2HpKWL-iD45G73KMicuRRG15vkkKK1BgS0mDTmjye8gcIgG2QHjiVoJYnT5M5A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1811553183%3A1691365031462579,114,0,79
